Active (0/1);Active (0/1);Name *;Categories (x,y,z...);Reference #;EAN13;Tags,(x,y,z...);Feature(Name:Value:Position);Description
1495;1;Kuzhupilly Beach;40,18;Ernakulam;Kerela;Kuzhupilly,Beach,Ernakulam,Kerela;State:Kerela,Dist/Location:Ernakulam;Located near Vypeen in Ernakulam district, Kuzhupilly beach is the centre of fun and excitement. It is one of the most happening beaches in Kerala, where one or the other event takes place throughout the year. An added charm to the beach is it proximity to the backwaters and the paddy fields that runs parallel to it. The coconut fringed beach and the silvery sand along the shore makes it a great place to take a walk upon. Evenings are quiet happening in Kuzhupilly when a large crowd gathers near the beach to make merry.
1496;1;Lighthouse Beach;40,18;Thiruvananthapuram;Kerela;Lighthouse,Beach,Thiruvananthapuram,Kerela;State:Kerela,Dist/Location:Thiruvananthapuram;"This falcate shaped beach is amongst the most attractive beaches in Kerala. A perfect place to enjoy nature’s bliss, this beach in Kerala is replete with leisure hotels; so if you are seeking a perfect holiday in Kerala, staying in one of these nearby hotels can do the trick for you! A walk on the silvery sands in the evening is one of the best things that you can think of doing here; however, sunbathing, snorkeling, catamaran rides, sunset viewing, cycling on the beach, swimming are also some good options."
1497;1;Meenkunnu Beach;40,18;Kannur;Kerela;Meenkunnu,Beach,Kannur,Kerela;State:Kerela,Dist/Location:Kannur;"Not so far from the town of Kannur, Meenkunnu beach is a great getaway after a hectic week. Less crowded and beautiful, I mean what more do you want on a lazy weekend? It is also an excellent place to go surfing in India. The rustic surrounding is a major factor why one may want to come here; expect some great photography outcome that will look good on your facebook and instagram wall."
1498;1;Muzhappilangad Beach;40,18;Kannur;Kerela;Muzhappilangad,Beach,Kannur,Kerela;State:Kerela,Dist/Location:Kannur;"It is one of the few drive-in beaches in India. The long coastline can be driven through which multiplies the fun of being here. The beach is situated between Kannur and Thalassery, where activities like paragliding, parasailing, microlite flights, power boating and catamaran ride are also possible. The beach is also swimmers’ delight; in simple words, Muzhappilangad beach is one place where all the action happens in Kerala."
1499;1;Munambam Beach;40,18;Ernakulam;Kerela;Munambam,Beach,Ernakulam,Kerela;State:Kerela,Dist/Location:Ernakulam;A long beach, situated near Vypeen Island in Ernakulam district, Munambam beach is worth paying a visit in Kerala. Also known as Murizis Golden Beach, it has facilities for kite flying as well. Along with spending a beautiful evening here, one has the chance to spend nights at nearby villages where homestays are available.
1500;1;Neendakara Beach;40,18;Kollam;Kerela;Neendakara,Beach,Kollam,Kerela;State:Kerela,Dist/Location:Kollam;The magnificent Neendkara beach is situated about 8kms from Kollam. Neendakara is one clean and beautiful beach, which is evidently the reason why large numbers of tourists visit it. One can witness the beautiful sight of Lake Ashtamudi joining the Arabian Sea here. Sunset is the most eventful time, when many gather here to watch some of the best sunsets in Kerala.
1501;1;Padinjarekkara Beach;40,18;Malappuram;Kerela;Padinjarekkara,Beach,Malappuram,Kerela;State:Kerela,Dist/Location:Malappuram;Famed for the marvelous view of the confluence of Bharathapuzha, Tirur River and the Arabian Sea, Padinjarekkara beach is situated near Ponnani in Malappuram district. This white sand beach is a perfect place for bird watching in India as many migratory birds can be spotted here. Water scooters or speed boats and floating coffee shops are the highlight of this beach.
1502;1;Papanasham Beach;40,18;Thiruvananthapuram;Kerela;Papanasham,Beach,Thiruvananthapuram,Kerela;State:Kerela,Dist/Location:Thiruvananthapuram;It is Varkala’s most popular beach and is also believed to be holy. Papanasham beach is an action packed beach where activities like parasailing, scuba diving and paragliding, angling and deep-sea fishing can be done. The beach is an important tourist spot in Kerala and is often reckoned asa Hindu pilgrimage. It is believed that a dip in the water of the beach can wash away one’s sin completely. An utterly beautiful beach, Papanasham is definitely a must visit in Kerala.
1503;1;Payyambalam Beach;40,18;Kannur;Kerela;Payyambalam,Beach,Kannur,Kerela;State:Kerela,Dist/Location:Kannur;This beach is one of the most popular beaches in Kerala. Payyambalam beach is situated at a short distance from Kannur and is great place for a family holiday. The mother and child sculpture on the beach is amongst the main attractions of the place. There is also a garden, which is situated at the edge of the beach, from where one can enjoy the majestic view of the sunset. Parasailing and other water sports can be enjoyed on Payyambalam beach.
1504;1;Poovar Beach;40,18;Thiruvananthapuram;Kerela;Poovar,Beach,Thiruvananthapuram,Kerela;State:Kerela,Dist/Location:Thiruvananthapuram;"Unspoilt and pristine is how one can define Poovar beach. Situated at a distance of about 28kms from Thiruvananthapuram, Poovar beach is amongst the finest places that Kerala has to offer. On one side, the azure water takes up the territory; on the other side of the beach is covered with forests that mainly comprise spice plantations, coconut and banana groves. Poovar is ideal for the tortured souls because the tranquility of the place gives them peace of mind and solace, while the magical beauty captivates their hearts."
1505;1;Samudra Beach;40,18;Kovalam;Kerela;Samudra,Beach,Kovalam,Kerela;State:Kerela,Dist/Location:Kovalam;Samudra is amongst the three important beaches in Kovalam that along with two other beaches makes the famous crescent of Kovalam. Being a popular beach in Kovalam, Samudra beach remains crowded through the year. A stroll on the beach is ideal and if you are an absolute sun lover you can enjoy sunbathing here as well.
1506;1;Shankhumugham Beach;40,18;Thiruvananthapuram;Kerela;Shankhumugham,Beach,Thiruvananthapuram,Kerela;State:Kerela,Dist/Location:Thiruvananthapuram;"An important beach in Thiruvananthapuram, Shankhumugham beach is situated about 8kms from the city of Trivandrum. The beach is famed for its sunset and to see it many throng here in the evening. Apart from the sunset, Shankhumugham beach is considered important as the annual Bali Tarpanam (Prayers for the dead) is held here. The Aaraat (festival procession) of the Padmanabhaswamy temple also takes place here each year; this famous festival concludes after taking a dip in the water of Shankhumugham beach."
1507;1;Thaikadappuram Beach;40,18;Kasargod;Kerela;Thaikadappuram,Beach,Kasargod,Kerela;State:Kerela,Dist/Location:Kasargod;Situated in the beautiful town near Nileshwar in Kasargod district, Thaikadappuram Beach is a gorgeous beach that is known for offering a wonderful view of the sunset. The scenic setting makes it a delightful place for tourists and locals. The Olive Ridley Turtles that lay eggs here in the monsoon are also one of the main attractions of this beach. Quiet and beautiful, Thaikadappuram beach is apt for those who are looking for some solace.
1508;1;Thalikulam Snehatheeram Beach;40,18;Thalikulam;Kerela;Thalikulam,Snehatheeram,Beach,Thalikulam,Kerela;State:Kerela,Dist/Location:Thalikulam;Referred to as ‘Love Shore’, Snehatheeram beach is an ideal picnic spot. Situated in Thalikulam, which is 25kms from Thrissur, this beach has an open auditorium, open beach, water sports and a lot more. It is reckoned to be one of the most scenic beaches in Kerala and an idyllic place for family hangouts and picnics.
1509;1;Thikkoti Lighthouse:;40,18;Thikkoti;Kerela;Thikkoti,Lighthouse:,Thikkoti,Kerela;State:Kerela,Dist/Location:Thikkoti;Famed due to its lighthouse, Thikkoti Lighthouse beach is yet another great place to be at! Situated in Thikkoti village in Kozhikode district, the beach is an everyday haunt of locals and visitors, who like to either sit by the sea or take a stroll along the shore. The beach is also a haven for migratory birds as well, so one can expect to see various bird species here as well. The famous lighthouse is obviously the main attraction here and makes for some lovely pictures.
1510;1;Thirumullavaram beach;40,18;Kollam;Kerela;Thirumullavaram,beach,Kollam,Kerela;State:Kerela,Dist/Location:Kollam;Located in an isolated place near Kollam city, Thirumullavaram beach is perfect for a beach holiday in India. Uninterrupted from the bustles of the city, this beach is replete with nature and offers its visitors once in a lifetime experience. On a low tide day one can witness Sunday Rock situated in the middle of the city. It is a shallow beach and therefore it makes for a great place for children to swim. The Mahavishnu Temple situated near the beach is yet another attraction here.
1511;1;Thiruvambady Beach;40,18;Varkala;Kerela;Thiruvambady,Beach,Varkala,Kerela;State:Kerela,Dist/Location:Varkala;If you are seeking a lazy beach holiday, Thiruvambady beach near Varkala is exactly what you are looking for. A long stretch of golden sand shore that is fringed with coconut trees waits to offer you an unmatched vacation in Kerala. There are a number of beach resorts that add to the perfectness of your holiday at Thiruvambady with their hospitality and services.
1512;1;Vakkad Beach;40,18;Malappuram ;Kerela;Vakkad,Beach,Malappuram,Kerela;State:Kerela,Dist/Location:Malappuram ;This beach in Ponnani in Malappuram district is one special beach, where Tirur apuzha or River can be seen meeting the sea. The boat cruise through Ettrikadavu is an experience that you can never forget. The beach is scenic and is usually visited by bird lovers as one has the opportunity to see a large number of migratory birds here.
1513;1;Valiathura Beach;40,18;Thiruvananthapuram;Kerela;Valiathura,Beach,Thiruvananthapuram,Kerela;State:Kerela,Dist/Location:Thiruvananthapuram;"aliathura beach is situated near the famous Shankhumugham beach and is yet another scenic beach in South Coast of Kerala. It is considered as a Fishermen beach as one can find several fishing boats, fishes (for selling) and other fishing relating items here. The best sight here is during monsoon is the unique type of race in which the fishermen take their cataramans to Valiathura Pier and throw them and after doing so; they themselves jump into the water and swim up to it."
1514;1;Vallikunnu Beach;40,18;Malappuram;Kerela;Vallikunnu,Beach,Malappuram,Kerela;State:Kerela,Dist/Location:Malappuram;A perfect place to unwind Vallikunnu beach is absolutely a place for those seeking peace of mind. Situated in Malappuram district, this unspoiled beach attracts a lot of tourists. Activities like swimming, playing volleyball and taking a short brisk walk are some of the few things that can keep you busy here.
